unix,iso_utc,price
1760070911,2025-10-10T04:35:11+00:00,0.9985
1760070963,2025-10-10T04:36:03+00:00,0.9985
1760071023,2025-10-10T04:37:03+00:00,0.9985
1760071085,2025-10-10T04:38:05+00:00,0.9985
1760071144,2025-10-10T04:39:04+00:00,0.9985
1760071206,2025-10-10T04:40:06+00:00,0.9985
1760071264,2025-10-10T04:41:04+00:00,0.9985
1760071323,2025-10-10T04:42:03+00:00,0.998
1760071384,2025-10-10T04:43:04+00:00,0.998
1760071445,2025-10-10T04:44:05+00:00,0.998
1760071518,2025-10-10T04:45:18+00:00,0.998
1760071565,2025-10-10T04:46:05+00:00,0.998
1760071625,2025-10-10T04:47:05+00:00,0.998
1760071684,2025-10-10T04:48:04+00:00,0.998
1760071744,2025-10-10T04:49:04+00:00,0.998
1760071804,2025-10-10T04:50:04+00:00,0.998
1760071864,2025-10-10T04:51:04+00:00,0.998
1760071924,2025-10-10T04:52:04+00:00,0.998
1760071983,2025-10-10T04:53:03+00:00,0.998
1760072044,2025-10-10T04:54:04+00:00,0.9975
1760072116,2025-10-10T04:55:16+00:00,0.9975
1760072164,2025-10-10T04:56:04+00:00,0.998
1760072224,2025-10-10T04:57:04+00:00,0.998
1760072282,2025-10-10T04:58:02+00:00,0.998
1760072343,2025-10-10T04:59:03+00:00,0.998
1760072418,2025-10-10T05:00:18+00:00,0.998
1760072463,2025-10-10T05:01:03+00:00,0.998
1760072525,2025-10-10T05:02:05+00:00,0.998
1760072584,2025-10-10T05:03:04+00:00,0.998
1760072644,2025-10-10T05:04:04+00:00,0.998
1760072710,2025-10-10T05:05:10+00:00,0.9955
1760072769,2025-10-10T05:06:09+00:00,0.9955
1760072823,2025-10-10T05:07:03+00:00,0.9955
1760072883,2025-10-10T05:08:03+00:00,0.9955
1760072943,2025-10-10T05:09:03+00:00,0.9955
1760073005,2025-10-10T05:10:05+00:00,0.9955
1760073064,2025-10-10T05:11:04+00:00,0.9955
1760073123,2025-10-10T05:12:03+00:00,0.9965
1760073183,2025-10-10T05:13:03+00:00,0.9965
1760073243,2025-10-10T05:14:03+00:00,0.9965
1760073309,2025-10-10T05:15:09+00:00,0.9965
1760073367,2025-10-10T05:16:07+00:00,0.997
1760073423,2025-10-10T05:17:03+00:00,0.997
1760073483,2025-10-10T05:18:03+00:00,0.9965
1760073545,2025-10-10T05:19:05+00:00,0.9965
1760073613,2025-10-10T05:20:13+00:00,0.9955
1760073663,2025-10-10T05:21:03+00:00,0.9955
1760073725,2025-10-10T05:22:05+00:00,0.9955
1760073783,2025-10-10T05:23:03+00:00,0.9955
1760073845,2025-10-10T05:24:05+00:00,0.9955
1760073909,2025-10-10T05:25:09+00:00,0.9955
1760073964,2025-10-10T05:26:04+00:00,0.9955
1760074023,2025-10-10T05:27:03+00:00,0.9955
1760074083,2025-10-10T05:28:03+00:00,0.9955
1760074144,2025-10-10T05:29:04+00:00,0.996
1760074209,2025-10-10T05:30:09+00:00,0.996
1760074265,2025-10-10T05:31:05+00:00,0.996
1760074322,2025-10-10T05:32:02+00:00,0.996
1760074383,2025-10-10T05:33:03+00:00,0.9965
1760074443,2025-10-10T05:34:03+00:00,0.9965
1760074503,2025-10-10T05:35:03+00:00,0.9965
1760074565,2025-10-10T05:36:05+00:00,0.9965
1760074624,2025-10-10T05:37:04+00:00,0.996
1760074683,2025-10-10T05:38:03+00:00,0.9965
1760074744,2025-10-10T05:39:04+00:00,0.9965
