unix,iso_utc,price
1760068517,2025-10-10T03:55:17+00:00,0.688
1760068563,2025-10-10T03:56:03+00:00,0.6875
1760068623,2025-10-10T03:57:03+00:00,0.688
1760068684,2025-10-10T03:58:04+00:00,0.6905
1760068744,2025-10-10T03:59:04+00:00,0.6885
1760068807,2025-10-10T04:00:07+00:00,0.691
1760068865,2025-10-10T04:01:05+00:00,0.696
1760068924,2025-10-10T04:02:04+00:00,0.703
1760068984,2025-10-10T04:03:04+00:00,0.696
1760069043,2025-10-10T04:04:03+00:00,0.6965
1760069106,2025-10-10T04:05:06+00:00,0.696
1760069164,2025-10-10T04:06:04+00:00,0.696
1760069223,2025-10-10T04:07:03+00:00,0.6925
1760069284,2025-10-10T04:08:04+00:00,0.691
1760069344,2025-10-10T04:09:04+00:00,0.6815
1760069405,2025-10-10T04:10:05+00:00,0.6775
1760069465,2025-10-10T04:11:05+00:00,0.6625
1760069523,2025-10-10T04:12:03+00:00,0.652
1760069584,2025-10-10T04:13:04+00:00,0.6585
1760069644,2025-10-10T04:14:04+00:00,0.669
1760069715,2025-10-10T04:15:15+00:00,0.669
1760069765,2025-10-10T04:16:05+00:00,0.669
1760069824,2025-10-10T04:17:04+00:00,0.668
1760069883,2025-10-10T04:18:03+00:00,0.666
1760069944,2025-10-10T04:19:04+00:00,0.666
1760070004,2025-10-10T04:20:04+00:00,0.673
1760070064,2025-10-10T04:21:04+00:00,0.69
1760070124,2025-10-10T04:22:04+00:00,0.689
1760070184,2025-10-10T04:23:04+00:00,0.6905
1760070244,2025-10-10T04:24:04+00:00,0.691
1760070313,2025-10-10T04:25:13+00:00,0.6915
1760070363,2025-10-10T04:26:03+00:00,0.6895
1760070423,2025-10-10T04:27:03+00:00,0.6905
1760070482,2025-10-10T04:28:02+00:00,0.6885
1760070544,2025-10-10T04:29:04+00:00,0.6875
1760070604,2025-10-10T04:30:04+00:00,0.679
1760070663,2025-10-10T04:31:03+00:00,0.679
1760070723,2025-10-10T04:32:03+00:00,0.6785
1760070784,2025-10-10T04:33:04+00:00,0.676
1760070844,2025-10-10T04:34:04+00:00,0.6755
1760070915,2025-10-10T04:35:15+00:00,0.6745
1760070963,2025-10-10T04:36:03+00:00,0.6735
1760071023,2025-10-10T04:37:03+00:00,0.6745
1760071083,2025-10-10T04:38:03+00:00,0.674
1760071144,2025-10-10T04:39:04+00:00,0.675
1760071203,2025-10-10T04:40:03+00:00,0.674
1760071264,2025-10-10T04:41:04+00:00,0.6745
1760071323,2025-10-10T04:42:03+00:00,0.674
1760071385,2025-10-10T04:43:05+00:00,0.6735
1760071443,2025-10-10T04:44:03+00:00,0.674
1760071504,2025-10-10T04:45:04+00:00,0.6735
1760071563,2025-10-10T04:46:03+00:00,0.6825
1760071623,2025-10-10T04:47:03+00:00,0.678
1760071685,2025-10-10T04:48:05+00:00,0.6715
1760071745,2025-10-10T04:49:05+00:00,0.676
1760071805,2025-10-10T04:50:05+00:00,0.6755
1760071865,2025-10-10T04:51:05+00:00,0.6755
1760071924,2025-10-10T04:52:04+00:00,0.676
1760071984,2025-10-10T04:53:04+00:00,0.678
1760072045,2025-10-10T04:54:05+00:00,0.678
1760072103,2025-10-10T04:55:03+00:00,0.679
1760072164,2025-10-10T04:56:04+00:00,0.681
1760072224,2025-10-10T04:57:04+00:00,0.679
1760072283,2025-10-10T04:58:03+00:00,0.68
1760072344,2025-10-10T04:59:04+00:00,0.677
1760072404,2025-10-10T05:00:04+00:00,0.6705
1760072464,2025-10-10T05:01:04+00:00,0.6685
1760072523,2025-10-10T05:02:03+00:00,0.6815
1760072584,2025-10-10T05:03:04+00:00,0.681
1760072643,2025-10-10T05:04:03+00:00,0.681
1760072703,2025-10-10T05:05:03+00:00,0.6845
1760072763,2025-10-10T05:06:03+00:00,0.691
1760072823,2025-10-10T05:07:03+00:00,0.6795
1760072884,2025-10-10T05:08:04+00:00,0.6835
1760072944,2025-10-10T05:09:04+00:00,0.6825
1760073008,2025-10-10T05:10:08+00:00,0.683
1760073064,2025-10-10T05:11:04+00:00,0.6835
1760073124,2025-10-10T05:12:04+00:00,0.683
1760073184,2025-10-10T05:13:04+00:00,0.677
1760073244,2025-10-10T05:14:04+00:00,0.6765
1760073312,2025-10-10T05:15:12+00:00,0.677
1760073363,2025-10-10T05:16:03+00:00,0.679
1760073423,2025-10-10T05:17:03+00:00,0.676
1760073484,2025-10-10T05:18:04+00:00,0.6755
1760073543,2025-10-10T05:19:03+00:00,0.6735
1760073603,2025-10-10T05:20:03+00:00,0.6715
1760073664,2025-10-10T05:21:04+00:00,0.642
1760073723,2025-10-10T05:22:03+00:00,0.6195
1760073783,2025-10-10T05:23:03+00:00,0.625
1760073843,2025-10-10T05:24:03+00:00,0.626
1760073911,2025-10-10T05:25:11+00:00,0.607
1760073964,2025-10-10T05:26:04+00:00,0.6265
1760074023,2025-10-10T05:27:03+00:00,0.648
1760074084,2025-10-10T05:28:04+00:00,0.651
1760074145,2025-10-10T05:29:05+00:00,0.6545
1760074212,2025-10-10T05:30:12+00:00,0.653
1760074265,2025-10-10T05:31:05+00:00,0.6475
1760074323,2025-10-10T05:32:03+00:00,0.6475
1760074383,2025-10-10T05:33:03+00:00,0.656
1760074444,2025-10-10T05:34:04+00:00,0.6575
1760074505,2025-10-10T05:35:05+00:00,0.6575
1760074566,2025-10-10T05:36:06+00:00,0.651
1760074623,2025-10-10T05:37:03+00:00,0.657
1760074683,2025-10-10T05:38:03+00:00,0.6325
1760074744,2025-10-10T05:39:04+00:00,0.6405
1760074803,2025-10-10T05:40:03+00:00,0.645
1760074864,2025-10-10T05:41:04+00:00,0.645
1760074924,2025-10-10T05:42:04+00:00,0.6445
1760074983,2025-10-10T05:43:03+00:00,0.6435
1760075044,2025-10-10T05:44:04+00:00,0.6435
1760075105,2025-10-10T05:45:05+00:00,0.6465
1760075166,2025-10-10T05:46:06+00:00,0.645
1760075224,2025-10-10T05:47:04+00:00,0.6545
1760075284,2025-10-10T05:48:04+00:00,0.6565
1760075345,2025-10-10T05:49:05+00:00,0.657
1760075402,2025-10-10T05:50:02+00:00,0.688
1760075466,2025-10-10T05:51:06+00:00,0.68
1760075523,2025-10-10T05:52:03+00:00,0.671
1760075584,2025-10-10T05:53:04+00:00,0.678
1760075645,2025-10-10T05:54:05+00:00,0.6785
1760075704,2025-10-10T05:55:04+00:00,0.681
1760075767,2025-10-10T05:56:07+00:00,0.6815
1760075824,2025-10-10T05:57:04+00:00,0.684
1760075885,2025-10-10T05:58:05+00:00,0.6805
1760075944,2025-10-10T05:59:04+00:00,0.687
1760076008,2025-10-10T06:00:08+00:00,0.683
1760076063,2025-10-10T06:01:03+00:00,0.682
1760076125,2025-10-10T06:02:05+00:00,0.679
1760076182,2025-10-10T06:03:02+00:00,0.6855
1760076244,2025-10-10T06:04:04+00:00,0.676
1760076316,2025-10-10T06:05:16+00:00,0.6755
1760076363,2025-10-10T06:06:03+00:00,0.6745
1760076425,2025-10-10T06:07:05+00:00,0.676
1760076484,2025-10-10T06:08:04+00:00,0.6765
1760076545,2025-10-10T06:09:05+00:00,0.677
1760076605,2025-10-10T06:10:05+00:00,0.6785
1760076662,2025-10-10T06:11:02+00:00,0.6765
1760076724,2025-10-10T06:12:04+00:00,0.6655
1760076785,2025-10-10T06:13:05+00:00,0.672
1760076843,2025-10-10T06:14:03+00:00,0.6705
1760076906,2025-10-10T06:15:06+00:00,0.67
1760076963,2025-10-10T06:16:03+00:00,0.67
1760077024,2025-10-10T06:17:04+00:00,0.6705
1760077084,2025-10-10T06:18:04+00:00,0.6765
1760077144,2025-10-10T06:19:04+00:00,0.674
1760077211,2025-10-10T06:20:11+00:00,0.677
1760077265,2025-10-10T06:21:05+00:00,0.6715
1760077324,2025-10-10T06:22:04+00:00,0.6705
1760077385,2025-10-10T06:23:05+00:00,0.6715
1760077443,2025-10-10T06:24:03+00:00,0.668
1760077505,2025-10-10T06:25:05+00:00,0.675
1760077563,2025-10-10T06:26:03+00:00,0.6705
1760077623,2025-10-10T06:27:03+00:00,0.6665
1760077684,2025-10-10T06:28:04+00:00,0.6175
1760077744,2025-10-10T06:29:04+00:00,0.62
1760077809,2025-10-10T06:30:09+00:00,0.6295
1760077863,2025-10-10T06:31:03+00:00,0.616
1760077922,2025-10-10T06:32:02+00:00,0.629
1760077983,2025-10-10T06:33:03+00:00,0.6245
1760078044,2025-10-10T06:34:04+00:00,0.627
1760078103,2025-10-10T06:35:03+00:00,0.6215
1760078172,2025-10-10T06:36:12+00:00,0.6245
1760078225,2025-10-10T06:37:05+00:00,0.6225
1760078284,2025-10-10T06:38:04+00:00,0.6225
1760078344,2025-10-10T06:39:04+00:00,0.625
1760078404,2025-10-10T06:40:04+00:00,0.6275
1760078467,2025-10-10T06:41:07+00:00,0.598
1760078523,2025-10-10T06:42:03+00:00,0.6145
1760078583,2025-10-10T06:43:03+00:00,0.6105
1760078645,2025-10-10T06:44:05+00:00,0.6055
1760078706,2025-10-10T06:45:06+00:00,0.605
1760078775,2025-10-10T06:46:15+00:00,0.6075
1760078823,2025-10-10T06:47:03+00:00,0.6115
1760078884,2025-10-10T06:48:04+00:00,0.6145
1760078943,2025-10-10T06:49:03+00:00,0.617
1760079003,2025-10-10T06:50:03+00:00,0.653
1760079064,2025-10-10T06:51:04+00:00,0.673
1760079124,2025-10-10T06:52:04+00:00,0.6685
1760079182,2025-10-10T06:53:02+00:00,0.6985
1760079245,2025-10-10T06:54:05+00:00,0.679
1760079305,2025-10-10T06:55:05+00:00,0.657
1760079364,2025-10-10T06:56:04+00:00,0.6425
1760079423,2025-10-10T06:57:03+00:00,0.6605
1760079483,2025-10-10T06:58:03+00:00,0.6625
1760079543,2025-10-10T06:59:03+00:00,0.663
1760079615,2025-10-10T07:00:15+00:00,0.66
1760079664,2025-10-10T07:01:04+00:00,0.663
1760079723,2025-10-10T07:02:03+00:00,0.676
1760079785,2025-10-10T07:03:05+00:00,0.6785
1760079843,2025-10-10T07:04:03+00:00,0.6775
1760079917,2025-10-10T07:05:17+00:00,0.684
1760079963,2025-10-10T07:06:03+00:00,0.688
1760080023,2025-10-10T07:07:03+00:00,0.6905
1760080084,2025-10-10T07:08:04+00:00,0.69
1760080143,2025-10-10T07:09:03+00:00,0.698
1760080204,2025-10-10T07:10:04+00:00,0.6905
1760080264,2025-10-10T07:11:04+00:00,0.7045
1760080323,2025-10-10T07:12:03+00:00,0.7075
1760080383,2025-10-10T07:13:03+00:00,0.6925
1760080443,2025-10-10T07:14:03+00:00,0.6925
1760080512,2025-10-10T07:15:12+00:00,0.693
1760080563,2025-10-10T07:16:03+00:00,0.693
1760080624,2025-10-10T07:17:04+00:00,0.693
1760080683,2025-10-10T07:18:03+00:00,0.6945
1760080743,2025-10-10T07:19:03+00:00,0.6925
1760080803,2025-10-10T07:20:03+00:00,0.7
1760080863,2025-10-10T07:21:03+00:00,0.7025
1760080923,2025-10-10T07:22:03+00:00,0.704
1760080983,2025-10-10T07:23:03+00:00,0.7015
1760081043,2025-10-10T07:24:03+00:00,0.713
1760081116,2025-10-10T07:25:16+00:00,0.708
1760081164,2025-10-10T07:26:04+00:00,0.7055
1760081224,2025-10-10T07:27:04+00:00,0.701
1760081283,2025-10-10T07:28:03+00:00,0.6685
1760081344,2025-10-10T07:29:04+00:00,0.6745
1760081406,2025-10-10T07:30:06+00:00,0.6865
1760081464,2025-10-10T07:31:04+00:00,0.688
1760081523,2025-10-10T07:32:03+00:00,0.696
1760081583,2025-10-10T07:33:03+00:00,0.6915
1760081644,2025-10-10T07:34:04+00:00,0.7025
1760081704,2025-10-10T07:35:04+00:00,0.7025
1760081764,2025-10-10T07:36:04+00:00,0.7075
1760081825,2025-10-10T07:37:05+00:00,0.7105
1760081885,2025-10-10T07:38:05+00:00,0.7175
1760081943,2025-10-10T07:39:03+00:00,0.7015
1760082006,2025-10-10T07:40:06+00:00,0.6955
1760082063,2025-10-10T07:41:03+00:00,0.6995
1760082124,2025-10-10T07:42:04+00:00,0.7045
1760082184,2025-10-10T07:43:04+00:00,0.7055
1760082243,2025-10-10T07:44:03+00:00,0.7115
1760082304,2025-10-10T07:45:04+00:00,0.7055
1760082363,2025-10-10T07:46:03+00:00,0.7095
1760082423,2025-10-10T07:47:03+00:00,0.6955
1760082484,2025-10-10T07:48:04+00:00,0.702
1760082544,2025-10-10T07:49:04+00:00,0.702
1760082613,2025-10-10T07:50:13+00:00,0.7015
1760082662,2025-10-10T07:51:02+00:00,0.7015
1760082723,2025-10-10T07:52:03+00:00,0.701
1760082785,2025-10-10T07:53:05+00:00,0.704
1760082843,2025-10-10T07:54:03+00:00,0.7075
1760082904,2025-10-10T07:55:04+00:00,0.7085
1760082963,2025-10-10T07:56:03+00:00,0.7095
1760083022,2025-10-10T07:57:02+00:00,0.7135
1760083083,2025-10-10T07:58:03+00:00,0.7175
1760083144,2025-10-10T07:59:04+00:00,0.718
1760083215,2025-10-10T08:00:15+00:00,0.7085
1760083265,2025-10-10T08:01:05+00:00,0.696
1760083324,2025-10-10T08:02:04+00:00,0.7055
1760083383,2025-10-10T08:03:03+00:00,0.678
1760083442,2025-10-10T08:04:02+00:00,0.6865
1760083511,2025-10-10T08:05:11+00:00,0.684
1760083564,2025-10-10T08:06:04+00:00,0.6815
1760083623,2025-10-10T08:07:03+00:00,0.6915
1760083684,2025-10-10T08:08:04+00:00,0.69
1760083744,2025-10-10T08:09:04+00:00,0.6905
1760083811,2025-10-10T08:10:11+00:00,0.688
1760083866,2025-10-10T08:11:06+00:00,0.6875
1760083925,2025-10-10T08:12:05+00:00,0.6855
1760083984,2025-10-10T08:13:04+00:00,0.686
1760084043,2025-10-10T08:14:03+00:00,0.685
1760084102,2025-10-10T08:15:02+00:00,0.681
1760084163,2025-10-10T08:16:03+00:00,0.6795
1760084224,2025-10-10T08:17:04+00:00,0.678
1760084283,2025-10-10T08:18:03+00:00,0.6785
1760084344,2025-10-10T08:19:04+00:00,0.685
1760084410,2025-10-10T08:20:10+00:00,0.6885
1760084463,2025-10-10T08:21:03+00:00,0.691
1760084524,2025-10-10T08:22:04+00:00,0.6855
1760084585,2025-10-10T08:23:05+00:00,0.685
1760084643,2025-10-10T08:24:03+00:00,0.688
1760084703,2025-10-10T08:25:03+00:00,0.688
1760084765,2025-10-10T08:26:05+00:00,0.705
1760084823,2025-10-10T08:27:03+00:00,0.7035
1760084884,2025-10-10T08:28:04+00:00,0.7075
1760084944,2025-10-10T08:29:04+00:00,0.691
1760085013,2025-10-10T08:30:13+00:00,0.6885
1760085063,2025-10-10T08:31:03+00:00,0.6845
1760085123,2025-10-10T08:32:03+00:00,0.6755
1760085184,2025-10-10T08:33:04+00:00,0.6775
1760085243,2025-10-10T08:34:03+00:00,0.677
1760085313,2025-10-10T08:35:13+00:00,0.68
1760085364,2025-10-10T08:36:04+00:00,0.682
1760085424,2025-10-10T08:37:04+00:00,0.695
