ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXNBATOTAL-25NOV05WASBOS-238,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,13294,13294,6937,3705,40,500,583,2343,22,500,1415,-0.21,0.4130943219136688,0.41386767866031265,0.07717829406605084,-0.8700157098004221,False,False,True,0.6196834689466942
KXNBATOTAL-25NOV05BKNIND-223,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,7655,7655,7655,1192,10,500,-778,509,2,500,-491,-0.7,-0.11031925809922875,-0.10360848944843463,0.07717829406605084,-2.885178545074385,False,False,True,0.5985891470330253
KXNBATOTAL-25NOV05UTADET-221,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,1586,1586,1571,500,1,500,-500,500,1,500,-500,-0.69,-0.11288780892808158,-0.24610491138685608,0.07717829406605084,-2.8440527729259366,False,False,True,0.5905891470330253
KXNBATOTAL-25NOV05BKNIND-220,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,3542,3542,3510,1847,15,500,-1271,547,4,474,-453,-0.6799999999999999,-0.09947426571073904,0.03126890414934868,0.07717829406605084,-2.8029270007774882,False,False,True,0.5825891470330253
KXNBATOTAL-25NOV05PHICLE-242,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,11179,11179,10991,3472,22,546,-1066,604,4,500,496,0.62,-0.0832067771280045,0.36588839208278057,0.14247536096026342,2.54342337852078,False,False,True,0.5672376804801317
KXNBASPREAD-25NOV05BKNIND-BKN3,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,4548,4548,4489,4181,42,500,2963,872,11,364,188,0.65,-0.006721041335498208,0.5118854486641979,0.07717829406605084,2.666800694966125,False,False,True,0.5585891470330254
KXMAMDANIMENTION-25NOV06-VICT,KXMAMDANIMENTION-25NOV06,Mentions,2025-11-05 20:44:44.617940+00:00,2254,2254,1875,23,1,23,23,23,1,23,23,-0.65,-0.2490210028572812,-0.34432860107562346,-0.5999238995978493,-2.679549684332144,False,False,True,0.52
KXNBATOTAL-25NOV05BKNIND-226,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,4520,4520,4400,868,10,387,-452,604,6,387,-396,-0.64,-0.0832067771280045,-0.1703264673502389,-0.0832253702610366,-2.638423912183696,False,False,True,0.512
KXNBASPREAD-25NOV05WASBOS-BOS13,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,44212,44212,20463,3073,18,500,1623,1134,6,500,586,0.49,0.06805232723777287,0.2837264378148179,0.07717829406605084,2.0087883405909532,False,False,True,0.4986414742707983
KXNBATOTAL-25NOV05UTADET-227,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,3505,3505,3449,500,2,444,-500,444,1,444,-444,-0.61,-0.12886990297427692,-0.24610491138685608,-0.0023137873703818744,-2.515046595738351,False,False,True,0.488
KXNBATOTAL-25NOV05PHICLE-239,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,7087,7087,7087,2418,16,500,1450,603,4,404,397,0.54,-0.0834921716645437,0.1488490442170346,0.07717829406605084,2.214417201333194,False,False,True,0.47058914703302546
KXNBATOTAL-25NOV05BKNIND-232,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,95648,95648,12651,1344,13,477,-1340,614,4,477,-610,-0.48,-0.08035283176261247,-0.07230869734635362,0.04452976061894455,-1.980411557808524,False,False,True,0.4062648803094723
KXNBATOTAL-25NOV05UTADET-230,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,7181,7181,5808,997,7,469,-821,557,4,469,-381,-0.48,-0.09662032034534702,-0.14376282800044646,0.03317374898516844,-1.980411557808524,False,False,True,0.40058687449258423
KXNBATOTAL-25NOV05BKNIND-235,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,3716,3716,3550,711,4,500,-627,711,4,500,-627,-0.42,-0.052669561718309825,-0.20265585787673046,0.07717829406605084,-1.7336569249178346,False,False,True,0.3745891470330254
KXNBATOTAL-25NOV05UTADET-236,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,3370,3370,3349,588,3,500,-412,88,2,47,88,-0.42,-0.23047035798223303,-0.22798397911723023,0.07717829406605084,-1.7336569249178346,False,False,True,0.3745891470330254
KXNBASPREAD-25NOV05BKNIND-BKN6,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,3295,3295,2721,2672,28,500,1122,1173,13,403,857,0.31,0.07918271416280177,0.201152644177091,0.07717829406605084,1.2685244419188855,False,False,True,0.36577186119582716
KXNBATOTAL-25NOV05PHICLE-218,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,7342,7342,6549,2364,9,935,-2164,0,0,0,0,0.0,-0.25558507719768286,0.13772938123340053,0.6946614266526264,-0.006374494683009475,False,False,False,0.3473307133263132
KXNBASPREAD-25NOV05UTADET-DET13,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,6198,6198,6118,1030,6,500,-1030,472,2,462,-472,-0.38,-0.12087885595117924,-0.13696747839933676,0.07717829406605084,-1.5691538363240418,False,False,True,0.34258914703302545
KXNBASPREAD-25NOV05UTADET-DET7,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,7163,7163,6254,741,8,500,661,700,4,500,668,0.37,-0.055808901620241054,-0.1964782673302671,0.07717829406605084,1.5152790748095748,False,False,True,0.3345891470330254
KXNBASPREAD-25NOV05PHICLE-CLE22,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,8870,8870,8743,7577,30,500,-171,1613,11,500,383,0.1,0.20475631024005092,1.21118869852385,0.07717829406605084,0.40488322680147276,False,False,False,0.32334545727307634
KXNBATOTAL-25NOV05WASBOS-226,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,942,942,923,669,4,500,385,669,4,500,385,0.35,-0.06465613225295633,-0.21130448464177917,0.07717829406605084,1.4330275305126783,False,False,True,0.3185891470330254
KXNCAAMBTOTAL-25NOV05USIBUT-155,KXNCAAMBTOTAL-25NOV05USIBUT,Sports,2025-11-06 02:35:38.151358+00:00,6755,6755,6589,262,2,200,-138,62,1,62,62,-0.39,-0.2378906159322523,-0.2951137963887987,-0.348672142200553,-1.6102796084724902,False,False,True,0.31200000000000006
KXNBASPREAD-25NOV05PHICLE-CLE7,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,7148,7148,4321,1390,10,419,1370,510,4,419,490,0.39,-0.11003386356268954,-0.06283639184177647,-0.037801323725932194,1.5975306191064713,False,False,True,0.31200000000000006
KXNBASPREAD-25NOV05UTADET-DET16,KXNBASPREAD-25NOV05UTADET,Sports,2025-11-06 02:50:20.874607+00:00,1113,1113,1069,527,2,500,-473,500,1,500,-500,-0.31,-0.11288780892808158,-0.24054507989503907,0.07717829406605084,-1.2812734312849043,False,False,True,0.2865891470330254
KXNBATOTAL-25NOV05WASBOS-229,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,7256,7256,4306,971,9,474,321,971,9,474,321,0.2999999999999999,0.021533017781882848,-0.14911673980738135,0.04027125625627851,1.2273986697704367,False,False,True,0.281668645910022
KXNBATOTAL-25NOV05WASBOS-223,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,938,938,938,900,3,500,900,900,3,500,900,0.29,0.0012700056875994644,-0.1637370374340113,0.07717829406605084,1.186272897621989,False,False,True,0.2718591527206249
KXNBATOTAL-25NOV05BKNIND-241,KXNBATOTAL-25NOV05BKNIND,Sports,2025-11-06 02:55:06.754032+00:00,1913,1913,1900,505,2,500,-505,500,1,500,-500,-0.27,-0.11288780892808158,-0.24507531296244553,0.07717829406605084,-1.1167703426911115,False,False,True,0.25458914703302543
