ticker,event_ticker,status,close_time,volume
KXNCAAMBTOTAL-25NOV05COPPLAS-154,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.83604Z,200
KXNCAAMBTOTAL-25NOV05COPPLAS-151,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.506499Z,200
KXNCAAMBTOTAL-25NOV05COPPLAS-148,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.018087Z,200
KXNCAAMBTOTAL-25NOV05COPPLAS-145,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:00.528872Z,450
KXNCAAMBTOTAL-25NOV05COPPLAS-142,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:00.071095Z,4149
KXNCAAMBTOTAL-25NOV05COPPLAS-139,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:59.744512Z,1765
KXNCAAMBTOTAL-25NOV05COPPLAS-136,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:59.308725Z,547
KXNCAAMBTOTAL-25NOV05COPPLAS-133,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.958592Z,400
KXNCAAMBTOTAL-25NOV05COPPLAS-130,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.720202Z,480
KXNCAAMBTOTAL-25NOV05COPPLAS-127,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.397152Z,3010
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS9,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.582769Z,250
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS6,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.425939Z,250
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS30,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.705512Z,250
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS3,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.304643Z,250
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS27,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.575631Z,250
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS24,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.445699Z,791
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS21,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.307072Z,255
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS18,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.175952Z,2308
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS15,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.902984Z,4982
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS12,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.758019Z,250
KXNBATOTAL-25NOV05PHICLE-248,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.915803Z,30777
KXNBATOTAL-25NOV05PHICLE-245,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.591891Z,10325
KXNBATOTAL-25NOV05PHICLE-242,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.216014Z,11179
KXNBATOTAL-25NOV05PHICLE-239,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:37.788985Z,7087
KXNBATOTAL-25NOV05PHICLE-236,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:37.339489Z,55246
KXNBATOTAL-25NOV05PHICLE-233,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.947821Z,66470
KXNBATOTAL-25NOV05PHICLE-230,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.523186Z,2372
KXNBATOTAL-25NOV05PHICLE-227,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.035263Z,12437
KXNBATOTAL-25NOV05PHICLE-224,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:35.658778Z,6293
KXNBATOTAL-25NOV05PHICLE-221,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:35.318706Z,954
KXNBATOTAL-25NOV05PHICLE-218,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:34.921805Z,7342
KXNBASPREAD-25NOV05PHICLE-PHI5,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:37.31445Z,3730
KXNBASPREAD-25NOV05PHICLE-PHI2,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:37.744447Z,2015
KXNBASPREAD-25NOV05PHICLE-CLE7,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:38.817518Z,7148
KXNBASPREAD-25NOV05PHICLE-CLE4,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:38.490305Z,1624
KXNBASPREAD-25NOV05PHICLE-CLE25,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:41.008688Z,3879
KXNBASPREAD-25NOV05PHICLE-CLE22,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:40.714899Z,8870
KXNBASPREAD-25NOV05PHICLE-CLE19,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:40.207298Z,7734
KXNBASPREAD-25NOV05PHICLE-CLE16,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:39.719427Z,15998
