ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m
KXNCAAMBTOTAL-25NOV05UMESUGA-156,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-153,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-150,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-147,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-144,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,216,216,216,200,1,200,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-141,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,643,643,625,200,1,200,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-138,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,200,1,200,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-135,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,200,1,200,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-132,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,200,1,200,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-129,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,200,200,200,200,2,199,-200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05UMESUGA-126,KXNCAAMBTOTAL-25NOV05UMESUGA,Sports,2025-11-06 02:35:38.710501+00:00,700,700,700,700,2,500,-700,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA44,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,3,168,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA41,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA38,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA35,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,335,335,335,250,3,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA32,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,754,754,387,250,4,199,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA29,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,688,688,507,229,2,200,229,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA26,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA23,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA20,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,250,2,200,250,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA17,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA14,KXNCAAMBSPREAD-25NOV05UMESUGA,Sports,2025-11-06 02:35:45.831980+00:00,250,250,250,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-157,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-154,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-151,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-148,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,200,200,200,0,0,0,0,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-145,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,450,450,450,250,2,200,250,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-142,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,4149,4149,2456,282,4,190,118,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-139,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,1765,1765,1412,550,2,350,-150,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-136,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,547,547,547,200,1,200,200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-133,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,400,400,400,200,2,195,200,0,0,0,0,0.0
KXNCAAMBTOTAL-25NOV05COPPLAS-130,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06 02:16:02.207271+00:00,480,480,400,200,1,200,200,0,0,0,0,0.0
